"Província"|"Regió_Sanitària"|"Comarca"|"Municipi"|"Donacions_2013"|"Sessions_2013"|"Donacions_2012"|"Sessions_2012"
"L"|"CATALUNYA CENTRAL"|"Solsonès"|"Pinell de Solsonès"|"0"|"0"|"0"|"0"
"L"|"CATALUNYA CENTRAL"|"Solsonès"|"Pinós"|"0"|"0"|"0"|"0"
"L"|"CATALUNYA CENTRAL"|"Solsonès"|"Riner"|"0"|"0"|"0"|"0"
"L"|"CATALUNYA CENTRAL"|"Solsonès"|"Sant Llorenç de Morunys"|"81"|"3"|"109"|"3"
"L"|"CATALUNYA CENTRAL"|"Solsonès"|"Solsona"|"766"|"13"|"839"|"13"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Altafulla"|"104"|"3"|"76"|"2"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Canonja, La"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Catllar, el"|"73"|"2"|"59"|"2"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Constantí"|"60"|"2"|"97"|"3"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Creixell"|"0"|"0"|"21"|"1"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Morell, el"|"155"|"4"|"171"|"4"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Nou de Gaià, la"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Pallaresos, els"|"106"|"2"|"85"|"2"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Perafort"|"12"|"1"|"16"|"1"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Pobla de Mafumet, la"|"26"|"1"|"92"|"5"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Pobla de Montornès, la"|"23"|"1"|"67"|"2"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Renau"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Riera de Gaià, la"|"38"|"1"|"22"|"1"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Roda de Barà"|"85"|"2"|"132"|"3"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Salomó"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Salou"|"820"|"11"|"1463"|"10"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Secuita, la"|"93"|"2"|"46"|"1"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Tarragona"|"6543"|"53"|"6778"|"64"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Torredembarra"|"387"|"7"|"468"|"7"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Vespella de Gaià"|"0"|"0"|"0"|"0"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Vilallonga del Camp"|"31"|"1"|"75"|"2"
"T"|"CAMP DE TARRAGONA"|"Tarragonès"|"Vila-seca"|"1263"|"14"|"1408"|"12"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Arnes"|"0"|"0"|"29"|"2"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Batea"|"118"|"2"|"161"|"3"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Bot"|"26"|"1"|"57"|"2"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Caseres"|"0"|"0"|"0"|"0"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Corbera d'Ebre"|"139"|"3"|"125"|"3"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Fatarella, la"|"81"|"2"|"111"|"3"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Gandesa"|"226"|"4"|"173"|"3"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Horta de Sant Joan"|"76"|"2"|"135"|"3"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Pinell de Brai, el"|"97"|"2"|"127"|"3"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Pobla de Massaluca, la"|"0"|"0"|"28"|"1"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Prat de Comte"|"0"|"0"|"0"|"0"
"T"|"TERRES DE L'EBRE"|"Terra Alta"|"Vilalba dels Arcs"|"26"|"1"|"57"|"2"
"L"|"LLEIDA"|"Urgell"|"Agramunt"|"285"|"4"|"384"|"5"
"L"|"LLEIDA"|"Urgell"|"Anglesola"|"71"|"3"|"83"|"3"
"L"|"LLEIDA"|"Urgell"|"Belianes"|"61"|"2"|"70"|"2"
"L"|"LLEIDA"|"Urgell"|"Bellpuig"|"119"|"3"|"190"|"4"
"L"|"LLEIDA"|"Urgell"|"Castellserà"|"88"|"3"|"116"|"3"
"L"|"LLEIDA"|"Urgell"|"Ciutadilla"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Fuliola, la"|"87"|"2"|"110"|"3"
"L"|"LLEIDA"|"Urgell"|"Guimerà"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Maldà"|"13"|"1"|"33"|"2"
"L"|"LLEIDA"|"Urgell"|"Nalec"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Omells de na Gaia, els"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Ossó de Sió"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Preixana"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Puigverd d'Agramunt"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Sant Martí de Riucorb"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Tàrrega"|"710"|"12"|"864"|"12"
"L"|"LLEIDA"|"Urgell"|"Tornabous"|"24"|"1"|"34"|"2"
"L"|"LLEIDA"|"Urgell"|"Vallbona de les Monges"|"0"|"0"|"0"|"0"
"L"|"LLEIDA"|"Urgell"|"Verdú"|"60"|"3"|"83"|"3"
"L"|"LLEIDA"|"Urgell"|"Vilagrassa"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Arres"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Bausen"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Bòrdes, es"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Bossòst"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Canejan"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Les"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Naut Aran"|"0"|"0"|"0"|"0"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Vielha e Mijaran"|"470"|"6"|"487"|"6"
"L"|"ALT PIRINEU I ARAN"|"Val d'Aran"|"Vilamòs"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Occidental"|"Badia del Vallès"|"142"|"5"|"107"|"4"
"B"|"BARCELONA"|"Vallès Occidental"|"Barberà del Vallès"|"648"|"18"|"612"|"21"
"B"|"BARCELONA"|"Vallès Occidental"|"Castellar del Vallès"|"433"|"13"|"433"|"12"
"B"|"BARCELONA"|"Vallès Occidental"|"Castellbisbal"|"221"|"5"|"260"|"9"
"B"|"BARCELONA"|"Vallès Occidental"|"Cerdanyola del Vallès"|"2881"|"95"|"2777"|"101"
"B"|"BARCELONA"|"Vallès Occidental"|"Gallifa"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Occidental"|"Matadepera"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Occidental"|"Montcada i Reixac"|"494"|"12"|"531"|"14"
"B"|"BARCELONA"|"Vallès Occidental"|"Palau-solità i Plegamans"|"577"|"11"|"559"|"12"
"B"|"BARCELONA"|"Vallès Occidental"|"Polinyà"|"215"|"7"|"181"|"6"
"B"|"BARCELONA"|"Vallès Occidental"|"Rellinars"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Occidental"|"Ripollet"|"568"|"17"|"611"|"18"
"B"|"BARCELONA"|"Vallès Occidental"|"Rubí"|"976"|"31"|"971"|"30"
"B"|"BARCELONA"|"Vallès Occidental"|"Sabadell"|"3861"|"130"|"4127"|"162"
"B"|"BARCELONA"|"Vallès Occidental"|"Sant Cugat del Vallès"|"3254"|"109"|"3467"|"114"
"B"|"BARCELONA"|"Vallès Occidental"|"Sant Llorenç Savall"|"58"|"3"|"73"|"3"
"B"|"BARCELONA"|"Vallès Occidental"|"Sant Quirze del Vallès"|"152"|"6"|"177"|"7"
"B"|"BARCELONA"|"Vallès Occidental"|"Santa Perpètua de Mogoda"|"637"|"19"|"698"|"23"
"B"|"BARCELONA"|"Vallès Occidental"|"Sentmenat"|"178"|"7"|"205"|"7"
"B"|"BARCELONA"|"Vallès Occidental"|"Terrassa"|"9866"|"24"|"10097"|"36"
"B"|"BARCELONA"|"Vallès Occidental"|"Ullastrell"|"66"|"3"|"72"|"3"
"B"|"BARCELONA"|"Vallès Occidental"|"Vacarisses"|"91"|"4"|"91"|"4"
"B"|"BARCELONA"|"Vallès Occidental"|"Viladecavalls"|"147"|"6"|"228"|"7"
"B"|"BARCELONA"|"Vallès Oriental"|"Aiguafreda"|"39"|"2"|"55"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Ametlla del Vallès, l'"|"200"|"4"|"209"|"5"
"B"|"BARCELONA"|"Vallès Oriental"|"Bigues i Riells"|"57"|"2"|"109"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Caldes de Montbui"|"365"|"8"|"388"|"8"
"B"|"BARCELONA"|"Vallès Oriental"|"Campins"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Canovelles"|"128"|"4"|"166"|"4"
"B"|"BARCELONA"|"Vallès Oriental"|"Cànoves i Samalús"|"52"|"2"|"64"|"2"
"B"|"BARCELONA"|"Vallès Oriental"|"Cardedeu"|"360"|"12"|"387"|"12"
"B"|"BARCELONA"|"Vallès Oriental"|"Castellcir"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Castellterçol"|"186"|"3"|"196"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Figaró-Montmany"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Fogars de Montclús"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Franqueses del Vallès, les"|"167"|"6"|"145"|"8"
"B"|"BARCELONA"|"Vallès Oriental"|"Garriga, la"|"261"|"5"|"361"|"8"
"B"|"BARCELONA"|"Vallès Oriental"|"Granera"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Granollers"|"1883"|"21"|"2187"|"29"
"B"|"BARCELONA"|"Vallès Oriental"|"Gualba"|"22"|"1"|"24"|"1"
"B"|"BARCELONA"|"Vallès Oriental"|"Llagosta, la"|"173"|"5"|"279"|"8"
"B"|"BARCELONA"|"Vallès Oriental"|"Lliçà d'Amunt"|"193"|"6"|"171"|"6"
"B"|"BARCELONA"|"Vallès Oriental"|"Lliçà de Vall"|"171"|"5"|"232"|"6"
"B"|"BARCELONA"|"Vallès Oriental"|"Llinars del Vallès"|"305"|"7"|"250"|"6"
"B"|"BARCELONA"|"Vallès Oriental"|"Martorelles"|"213"|"7"|"292"|"8"
"B"|"BARCELONA"|"Vallès Oriental"|"Mollet del Vallès"|"1416"|"36"|"1592"|"36"
"B"|"BARCELONA"|"Vallès Oriental"|"Montmeló"|"1083"|"6"|"1258"|"7"
"B"|"BARCELONA"|"Vallès Oriental"|"Montornès del Vallès"|"313"|"9"|"423"|"13"
"B"|"BARCELONA"|"Vallès Oriental"|"Montseny"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Parets del Vallès"|"378"|"11"|"356"|"12"
"B"|"BARCELONA"|"Vallès Oriental"|"Roca del Vallès, la"|"288"|"5"|"339"|"5"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Antoni de Vilamajor"|"130"|"3"|"134"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Celoni"|"779"|"12"|"800"|"12"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Esteve de Palautordera"|"98"|"3"|"90"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Feliu de Codines"|"114"|"3"|"99"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Fost de Campsentelles"|"63"|"3"|"99"|"4"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Pere de Vilamajor"|"0"|"0"|"8"|"1"
"B"|"BARCELONA"|"Vallès Oriental"|"Sant Quirze Safaja"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Santa Eulàlia de Ronçana"|"100"|"3"|"100"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Santa Maria de Martorelles"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Santa Maria de Palautordera"|"112"|"3"|"90"|"3"
"B"|"BARCELONA"|"Vallès Oriental"|"Tagamanent"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Vallgorguina"|"19"|"1"|"25"|"1"
"B"|"BARCELONA"|"Vallès Oriental"|"Vallromanes"|"66"|"2"|"52"|"2"
"B"|"BARCELONA"|"Vallès Oriental"|"Vilalba Sasserra"|"0"|"0"|"0"|"0"
"B"|"BARCELONA"|"Vallès Oriental"|"Vilanova del Vallès"|"109"|"4"|"114"|"4"
""|""|""|"Fora de Catalunya"|"1271"|"37"|"1127"|"27"
""|""|""|"TOTAL"|"257018"|"4215"|"275499"|"4766"
